Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
475,84,68,15,20,American Wedding (Universal),01-Aug-03,"$104,565,856 ",2003
476,170,37,30,8,Road to Perdition (DreamWorks),12-Jul-02,"$104,454,531 ",2002
477,135,26,27,7,The Princess and the Frog (Disney),25-Nov-09,"$104,408,885 ",2009
478,76,80,14,15,The Chronicles of Narnia: The Voyage of the Dawn Treader (Fox),10-Dec-10,"$104,386,950 ",2010
479,35,90,9,26,Daddy Day Care (Sony / Columbia),09-May-03,"$104,297,626 ",2003
480,76,36,12,8,Paranormal Activity 3 (Paramount),21-Oct-11,"$104,028,807 ",2011
481,29,16,3,5,Dick Tracy (Disney),15-Jun-90,"$103,928,898 ",1990
482,51,74,7,19,Journey 2: The Mysterious Island (Warner Bros. / New Line),10-Feb-12,"$103,860,290 ",2012
483,156,44,40,6,Dreamgirls (Paramount / DreamWorks),15-Dec-06,"$103,365,783 ",2006
484,23,5,2,1,9 to 5 (Fox),19-Dec-80,"$103,290,458 ",1980
485,80,115,10,22,The Expendables (Lionsgate),13-Aug-10,"$103,068,524 ",2010
486,49,10,12,4,Scream (Miramax / Dimension),20-Dec-96,"$103,046,577 ",1996
487,25,107,8,24,Just Go With It (Sony / Columbia),11-Feb-11,"$103,028,109 ",2011
488,41,4,4,0,Bambi (Disney / RKO),13-Aug-42,"$102,797,843 ",1942
489,20,68,4,20,The General's Daughter (Paramount),18-Jun-99,"$102,705,012 ",1999
490,186,27,37,8,The Aviator (2004) (Miramax),17-Dec-04,"$102,610,027 ",2004
491,74,48,14,12,American Pie (Universal),09-Jul-99,"$102,561,837 ",1999
492,96,117,9,27,Daredevil (Fox),14-Feb-03,"$102,543,261 ",2003
493,188,30,34,9,The Girl with the Dragon Tattoo (2011) (Sony / Columbia),20-Dec-11,"$102,515,793 ",2011
494,22,146,3,32,The Mummy: Tomb of the Dragon Emperor (Universal),01-Aug-08,"$102,491,956 ",2008
495,41,2,6,1,In the Line of Fire (Columbia),09-Jul-93,"$102,314,245 ",1993
496,40,5,3,3,Butch Cassidy and the Sundance Kid (Fox),23-Sep-69,"$102,308,525 ",1969
497,39,0,3,0,Mary Poppins (Disney),29-Aug-64,"$102,272,145 ",1964
498,94,61,24,9,Journey to the Center of the Earth (Warner Bros. / New Line),11-Jul-08,"$101,704,710 ",2008
499,33,101,8,28,Gone in 60 Seconds (Disney),09-Jun-00,"$101,648,004 ",2000
500,28,10,7,0,Maverick (Warner Bros.),20-May-94,"$101,641,292 ",1994
501,7,25,1,7,Sleeping with the Enemy (Fox),08-Feb-91,"$101,599,971 ",1991
502,47,132,8,25,Eagle Eye (Paramount / DreamWorks),26-Sep-08,"$101,440,408 ",2008
503,66,18,18,7,The Prince of Egypt (DreamWorks),18-Dec-98,"$101,413,697 ",1998
504,59,14,17,1,Scream 2 (Miramax / Dimension),12-Dec-97,"$101,363,250 ",1997
505,10,5,0,1,Stir Crazy (Columbia),12-Dec-80,"$101,300,186 ",1980
506,16,29,5,7,Eraser (Warner Bros.),21-Jun-96,"$101,295,479 ",1996
507,58,2,9,2,Unforgiven (Warner Bros.),07-Aug-92,"$101,157,573 ",1992
508,16,134,5,33,Dr. Seuss' The Cat in the Hat (Universal),21-Nov-03,"$101,149,243 ",2003
509,34,28,3,9,Con Air (Disney),06-Jun-97,"$101,117,443 ",1997
510,85,41,20,10,Sleepy Hollow (Paramount),19-Nov-99,"$101,071,535 ",1999
511,194,31,37,8,Collateral (DreamWorks),06-Aug-04,"$101,005,089 ",2004
512,39,23,8,10,Contact (Warner Bros.),11-Jul-97,"$100,920,014 ",1997
513,76,99,17,22,Charlie's Angels: Full Throttle (Sony / Columbia),27-Jun-03,"$100,830,600 ",2003
514,25,23,3,4,The Pelican Brief (Warner Bros.),17-Dec-93,"$100,768,871 ",1993
515,66,97,9,25,Vanilla Sky (Paramount),14-Dec-01,"$100,618,362 ",2001
516,72,110,14,20,Due Date (Warner Bros.),05-Nov-10,"$100,539,043 ",2010
517,29,20,8,4,The Rugrats Movie (Paramount),20-Nov-98,"$100,494,124 ",1998
518,206,19,39,2,Million Dollar Baby (Warner Bros.),15-Dec-04,"$100,492,507 ",2004
519,12,3,0,1,Airport (Universal),05-Mar-70,"$100,489,626 ",1970
520,16,16,2,4,Jumanji (Sony / TriStar),15-Dec-95,"$100,475,644 ",1995
521,99,81,17,19,Step Brothers (Sony / Columbia),25-Jul-08,"$100,468,110 ",2008
522,45,148,4,37,Evan Almighty (Universal),22-Jun-07,"$100,462,174 ",2007
523,16,20,3,7,Casper (Universal),26-May-95,"$100,328,606 ",1995
524,95,7,23,2,Shakespeare in Love (Miramax),11-Dec-98,"$100,317,300 ",1998
525,76,96,10,26,Bad Teacher (Sony / Columbia),24-Jun-11,"$100,292,856 ",2011
526,13,85,3,14,Yogi Bear (Warner Bros.),17-Dec-10,"$100,246,011 ",2010
527,103,130,20,20,Cowboys & Aliens (Universal),29-Jul-11,"$100,240,551 ",2011
528,46,8,11,6,Seven (New Line),22-Sep-95,"$100,192,215 ",1995
529,36,13,9,6,The Hunchback of Notre Dame (Disney),21-Jun-96,"$100,138,341 ",1996
530,37,3,7,0,Parenthood (Universal),02-Aug-89,"$100,047,300 ",1989
531,67,116,15,23,You Don't Mess with the Zohan (Sony / Columbia),06-Jun-08,"$100,018,509 ",2008
532,23,22,6,5,Die Hard: With A Vengeance (Fox),19-May-95,"$100,012,089 ",1995
533,3,9,1,0,Hope Springs (2003) (Buena Vista),05-Sep-03,"$100,000,000 ",2003
534,65,52,13,11,Gnomeo and Juliet (Disney),11-Feb-11,"$99,967,670 ",2011
535,41,8,10,3,Hercules (1997) (Disney),15-Jun-97,"$99,112,451 ",1997
536,99,126,9,30,The Green Hornet (Sony / Columbia),14-Jan-11,"$98,780,042 ",2011
537,146,72,26,11,Date Night (Fox),09-Apr-10,"$98,711,404 ",2010
538,23,3,1,0,The Color Purple (Warner Bros.),20-Dec-85,"$98,467,390 ",1985
539,90,46,19,13,Meet the Robinsons (Disney),30-Mar-07,"$97,822,001 ",2007
540,69,83,13,19,Yes Man (Warner Bros.),19-Dec-08,"$97,690,540 ",2008
541,13,49,4,17,Inspector Gadget (Disney),23-Jul-99,"$97,404,796 ",1999
542,174,84,27,16,Public Enemies (Universal),01-Jul-09,"$97,104,669 ",2009
543,269,11,46,0,The Social Network (Sony / Columbia),01-Oct-10,"$96,962,694 ",2010
544,123,24,22,12,The Others (Miramax),10-Aug-01,"$96,522,181 ",2001
545,94,44,20,13,Legally Blonde (MGM),13-Jul-01,"$96,520,568 ",2001
546,138,42,25,10,Panic Room (Sony / Columbia),29-Mar-02,"$96,397,271 ",2002
547,58,2,10,0,Schindler's List (Universal),15-Dec-93,"$96,065,548 ",1993
548,45,8,4,3,Dead Poets Society (Disney),02-Jun-89,"$95,860,927 ",1989
549,11,112,2,28,Norbit (Paramount / DreamWorks),09-Feb-07,"$95,673,892 ",2007
550,158,65,38,5,Cold Mountain (Miramax),25-Dec-03,"$95,636,667 ",2003
551,27,3,4,1,Arthur (1981) (Orion),17-Jul-81,"$95,461,724 ",1981
552,13,23,2,7,Michael (1996) (New Line),25-Dec-96,"$95,365,052 ",1996
553,30,168,3,33,Sex and the City 2 (Warner Bros. / New Line),27-May-10,"$95,347,692 ",2010
554,30,84,10,18,The Princess Diaries 2: Royal Engagement (Disney),11-Aug-04,"$95,170,184 ",2004
555,108,51,19,15,Unbreakable (Disney),22-Nov-00,"$95,011,031 ",2000
556,92,99,16,20,The Book of Eli (Warner Bros.),15-Jan-10,"$94,835,000 ",2010
557,12,132,3,27,"10,000 B.C. (Warner Bros.)",07-Mar-08,"$94,784,291 ",2008
558,39,57,9,10,Beverly Hills Chihuahua (Disney),03-Oct-08,"$94,516,544 ",2008
559,84,10,14,1,The Lion King 3D (Disney),16-Sep-11,"$94,242,001 ",2011
560,159,53,35,11,Julie & Julia (Sony / Columbia),07-Aug-09,"$94,237,229 ",2009
561,35,4,3,1,Saturday Night Fever (Paramount),16-Dec-77,"$94,213,584 ",1977
562,56,12,11,3,The Mask of Zorro (Sony / TriStar),17-Jul-98,"$94,095,106 ",1998
563,57,88,10,23,Maid in Manhattan (Sony / Columbia),13-Dec-02,"$94,011,090 ",2002
564,65,92,12,27,He's Just Not That Into You (Warner Bros. / New Line),06-Feb-09,"$93,953,147 ",2009
565,175,32,39,3,Master and Commander: The Far Side of the World (Fox),14-Nov-03,"$93,927,903 ",2003
566,209,22,32,6,The Fighter (Paramount),10-Dec-10,"$93,617,009 ",2010
567,45,98,7,31,America's Sweethearts (Sony / Columbia),20-Jul-01,"$93,607,436 ",2001
568,68,100,9,28,The Bucket List (Warner Bros.),25-Dec-07,"$93,466,104 ",2007
569,62,53,12,19,Cats & Dogs (Warner Bros.),04-Jul-01,"$93,385,991 ",2001
570,50,70,10,21,Two Weeks Notice (Warner Bros.),20-Dec-02,"$93,354,363 ",2002
571,126,58,20,16,Red Dragon (Universal),04-Oct-02,"$93,149,728 ",2002
572,7,24,2,5,Flubber (Disney),26-Nov-97,"$92,993,178 ",1997
573,10,25,1,4,Flashdance (Paramount),15-Apr-83,"$92,921,550 ",1983
574,43,4,6,2,When Harry Met Sally... (Columbia),12-Jul-89,"$92,823,951 ",1989
575,198,13,35,3,The Town (Warner Bros.),17-Sep-10,"$92,186,262 ",2010
576,28,7,5,2,The Client (Warner Bros.),20-Jul-94,"$92,115,614 ",1994
577,48,4,12,1,Star Trek: First Contact (Paramount),22-Nov-96,"$92,027,176 ",1996
578,51,44,15,13,Think Like a Man (Sony / Screen Gems),20-Apr-12,"$91,547,205 ",2012
579,17,17,3,4,Kindergarten Cop (Universal),21-Dec-90,"$91,457,397 ",1990
580,15,74,3,21,The Haunting (DreamWorks),23-Jul-99,"$91,411,066 ",1999
581,40,6,10,1,Crimson Tide (Disney),12-May-95,"$91,387,359 ",1995
582,21,2,3,0,Back to School (Orion),13-Jun-86,"$91,258,863 ",1986
583,24,31,8,9,Stepmom (Sony / TriStar),25-Dec-98,"$91,137,264 ",1998
584,51,46,18,13,Save the Last Dance (Paramount),12-Jan-01,"$91,057,291 ",2001
585,54,79,8,20,The Scorpion King (Universal),19-Apr-02,"$91,047,236 ",2002
586,38,4,4,1,The Karate Kid (1984) (Columbia),22-Jun-84,"$90,815,022 ",1984
587,76,139,10,25,Prince of Persia: The Sands of Time (Disney),28-May-10,"$90,759,676 ",2010
588,84,4,23,1,Antz (DreamWorks),02-Oct-98,"$90,757,069 ",1998
589,46,80,10,13,Scary Movie 4 (Weinstein / Dimension),14-Apr-06,"$90,710,694 ",2006
590,28,72,9,14,The Game Plan (Disney),28-Sep-07,"$90,648,399 ",2007
591,47,50,9,15,"Me, Myself & Irene (Fox)",23-Jun-00,"$90,570,164 ",2000
592,83,44,18,9,High School Musical 3: Senior Year (Disney),24-Oct-08,"$90,553,861 ",2008
593,14,36,3,8,Tyler Perry's Madea Goes to Jail (Lionsgate),20-Feb-09,"$90,508,712 ",2009
594,92,25,23,5,Space Cowboys (Warner Bros.),04-Aug-00,"$90,464,838 ",2000
595,17,32,6,9,Space Jam (Warner Bros.),15-Nov-96,"$90,418,694 ",1996
596,34,4,4,1,Trading Places (Paramount),10-Jun-83,"$90,404,094 ",1983
597,137,55,21,13,Red (2010) (Summit),15-Oct-10,"$90,380,162 ",2010
598,57,93,16,22,"Legally Blonde 2: Red, White and Blonde (MGM)",02-Jul-03,"$90,186,092 ",2003
599,170,25,39,2,Mystic River (Warner Bros.),08-Oct-03,"$90,135,613 ",2003
600,65,107,13,23,Flightplan (Disney),23-Sep-05,"$89,707,451 ",2005
601,130,39,36,3,Flight (Paramount),02-Nov-12,"$89,418,704 ",2012
602,30,11,5,2,Father of the Bride (1991) (Disney),20-Dec-91,"$89,325,988 ",1991
603,108,19,25,8,The Emperor's New Groove (Disney),15-Dec-00,"$89,302,177 ",2000
604,40,71,10,16,Scream 3 (Miramax / Dimension),04-Feb-00,"$89,143,590 ",2000
605,22,146,3,30,The Ugly Truth (Sony / Columbia),24-Jul-09,"$88,912,869 ",2009
606,69,71,11,17,Percy Jackson and the Olympians: The Lightning Thief (Fox),12-Feb-10,"$88,761,720 ",2010
607,37,112,14,21,Failure to Launch (Paramount),10-Mar-06,"$88,715,628 ",2006
608,169,27,37,5,Inside Man (Universal),24-Mar-06,"$88,634,213 ",2006
609,193,9,38,3,The Muppets (Disney),23-Nov-11,"$88,631,237 ",2011
610,33,4,1,3,Lady and the Tramp (Disney),22-Jun-55,"$88,300,200 ",1955
611,21,28,8,2,Waterworld (Universal),28-Jul-95,"$88,273,624 ",1995
612,121,69,28,14,Starsky & Hutch (Warner Bros.),05-Mar-04,"$88,237,503 ",2004
613,39,115,8,29,Along Came Polly (Universal),16-Jan-04,"$88,097,819 ",2004
614,20,14,4,2,Out of Africa (Universal),20-Dec-85,"$88,081,471 ",1985
615,20,14,4,3,The Hand That Rocks the Cradle (Disney),10-Jan-92,"$88,036,322 ",1992
616,29,1,5,0,Cinderella (Disney / RKO),15-Feb-50,"$88,000,466 ",1950
617,30,11,3,5,Back to the Future Part III (Universal),25-May-90,"$87,727,501 ",1990
618,31,50,7,11,Entrapment (Fox),30-Apr-99,"$87,704,947 ",1999
619,20,4,2,1,Peter Pan (1953) (Disney / RKO),05-Feb-53,"$87,404,669 ",1953
620,131,61,24,15,Pineapple Express (Sony / Columbia),06-Aug-08,"$87,341,257 ",2008
621,13,1,2,0,Everest (MacGillivray Freeman),06-Mar-98,"$87,178,928 ",1998
622,41,75,6,21,Saw II (Lionsgate),28-Oct-05,"$87,038,814 ",2005
623,39,0,5,0,Pinocchio (1940) (Disney / RKO),09-Feb-40,"$87,000,862 ",1940
624,20,15,6,1,The Naked Gun 2 1/2: The Smell of Fear (Paramount),28-Jun-91,"$86,930,000 ",1991
625,118,61,21,15,The Campaign (Warner Bros.),10-Aug-12,"$86,907,746 ",2012
626,31,7,5,3,The War of the Roses (Fox),08-Dec-89,"$86,888,161 ",1989
627,0,0,0,0,To Fly! (MacGillivray Freeman),01-Jul-76,"$86,712,831 ",1976
628,20,3,7,2,Space Station 3D (IMAX),19-Apr-02,"$86,658,654 ",2002
629,6,18,0,2,The Amityville Horror (1979) (AIP),27-Jul-79,"$86,432,881 ",1979
630,31,2,9,0,Presumed Innocent (Warner Bros.),27-Jul-90,"$86,303,266 ",1990
631,45,3,4,0,Young Frankenstein (Fox),15-Dec-74,"$86,273,138 ",1974
632,146,29,32,9,Mean Girls (Paramount),30-Apr-04,"$86,058,328 ",2004
633,99,34,23,9,Spy Kids 2: The Island of Lost Dreams (Miramax / Dimension),07-Aug-02,"$85,846,314 ",2002
634,11,68,3,21,Pokemon: The First Movie (Warner Bros.),10-Nov-99,"$85,744,344 ",1999
635,123,83,20,14,Real Steel (Disney / DreamWorks),07-Oct-11,"$85,468,508 ",2011
636,85,40,23,11,The SpongeBob SquarePants Movie (Paramount),19-Nov-04,"$85,417,737 ",2004
637,29,3,2,2,The Ten Commandments (1956) (Paramount),05-Oct-56,"$85,400,591 ",1956
638,48,77,10,20,Brother Bear (Disney),24-Oct-03,"$85,336,840 ",2003
639,29,4,3,1,Stripes (Columbia),26-Jun-81,"$85,297,639 ",1981
640,130,66,25,13,Anchorman: The Legend of Ron Burgundy (DreamWorks),09-Jul-04,"$85,288,020 ",2004
641,4,9,0,0,Every Which Way But Loose (Warner Bros.),20-Dec-78,"$85,196,458 ",1978
642,17,7,2,1,Rocky II (United Artists),15-Jun-79,"$85,182,286 ",1979
643,49,0,7,0,Aliens (Fox),18-Jul-86,"$85,160,275 ",1986
644,48,52,13,12,Open Season (2006) (Sony / Columbia),29-Sep-06,"$85,105,336 ",2006
645,79,41,13,9,The Expendables 2 (Lionsgate),17-Aug-12,"$85,028,192 ",2012
646,11,27,5,8,Dangerous Minds (Disney),11-Aug-95,"$84,919,171 ",1995
647,75,53,14,11,Paranormal Activity 2 (Paramount),22-Oct-10,"$84,752,907 ",2010
648,150,81,18,25,The Hobbit: An Unexpected Journey (Warner Bros. / New Line),14-Dec-12,"$84,617,303 ",2012
649,19,5,0,1,The Poseidon Adventure (Fox),13-Dec-72,"$84,563,142 ",1972
650,10,55,3,13,The Santa Clause 3: The Escape Clause (Disney),03-Nov-06,"$84,500,847 ",2006
651,155,44,28,9,"Crazy, Stupid, Love (Warner Bros.)",29-Jul-11,"$84,351,197 ",2011
652,24,89,3,23,Scooby-Doo 2: Monsters Unleashed (Warner Bros.),26-Mar-04,"$84,216,081 ",2004
653,27,6,5,2,Cliffhanger (TriStar),28-May-93,"$84,072,433 ",1993
654,68,72,14,19,Atlantis: The Lost Empire (Disney),08-Jun-01,"$84,056,545 ",2001
655,44,25,8,7,The X-Files (Fox),19-Jun-98,"$83,898,841 ",1998
656,235,24,38,4,Up in the Air (Paramount),04-Dec-09,"$83,775,533 ",2009
657,13,7,1,0,Steel Magnolias (TriStar),15-Nov-89,"$83,759,353 ",1989
658,42,122,8,21,Wrath of the Titans (Warner Bros.),30-Mar-12,"$83,670,083 ",2012
659,18,6,3,1,Under Siege (Warner Bros.),09-Oct-92,"$83,563,456 ",1992
660,69,127,7,25,Battle: Los Angeles (Sony / Columbia),11-Mar-11,"$83,552,429 ",2011
661,40,73,6,16,Immortals (Relativity Media),11-Nov-11,"$83,504,017 ",2011
662,73,1,10,1,Apocalypse Now (United Artists),15-Aug-79,"$83,471,114 ",1979
663,52,1,5,0,Airplane! (Paramount),02-Jul-80,"$83,453,906 ",1980
664,22,8,0,6,Patriot Games (Paramount),05-Jun-92,"$83,351,979 ",1992
665,119,74,23,17,Valkyrie (MGM / United Artists),25-Dec-08,"$83,077,158 ",2008
666,203,31,40,4,Brokeback Mountain (Focus),09-Dec-05,"$83,043,252 ",2005
667,27,16,5,4,Disclosure (Warner Bros.),09-Dec-94,"$83,015,156 ",1994
668,47,3,5,3,Die Hard (Fox),15-Jul-88,"$83,008,695 ",1988
669,112,31,25,11,Charlotte's Web (2006) (Paramount),15-Dec-06,"$82,985,412 ",2006
670,26,137,5,36,Monster-in-Law (New Line),13-May-05,"$82,931,013 ",2005
671,13,101,3,29,Are We There Yet? (Sony / Columbia),21-Jan-05,"$82,674,758 ",2005
672,17,26,5,3,Days of Thunder (Paramount),27-Jun-90,"$82,670,017 ",1990
673,203,25,38,4,The Descendants (Fox Searchlight),16-Nov-11,"$82,629,097 ",2011
674,62,91,9,24,Freddy Vs. Jason (New Line),15-Aug-03,"$82,622,404 ",2003
675,20,7,6,1,Mr. Holland's Opus (Disney),29-Dec-95,"$82,582,528 ",1995
676,6,86,3,25,Cheaper by the Dozen 2 (Fox),21-Dec-05,"$82,571,249 ",2005
677,37,9,7,1,Bram Stoker's Dracula (Columbia),13-Nov-92,"$82,522,851 ",1992
678,19,4,4,0,Fried Green Tomatoes (Universal),27-Dec-91,"$82,418,729 ",1991
679,80,56,14,14,Blade II (New Line),22-Mar-02,"$82,348,173 ",2002
680,138,57,27,11,Beowulf (Paramount),16-Nov-07,"$82,280,066 ",2007
681,121,23,23,4,Bridge to Terabithia (Disney),16-Feb-07,"$82,272,124 ",2007
682,14,19,2,3,Star Trek: The Motion Picture (Paramount),07-Dec-79,"$82,258,086 ",1979
683,31,109,7,27,The Pink Panther (2006) (Sony / Columbia),10-Feb-06,"$82,226,975 ",2006
684,13,2,1,0,The Goodbye Girl (Warner Bros.),30-Nov-77,"$82,000,470 ",1977
685,10,9,0,0,Jaws 2 (Universal),16-Jun-78,"$81,766,987 ",1978
686,26,4,3,1,Heaven Can Wait (1978) (Paramount),28-Jun-78,"$81,640,699 ",1978
687,106,41,19,15,Eight Below (Disney),17-Feb-06,"$81,612,111 ",2006
688,34,4,3,1,M.A.S.H. (Fox),25-Jan-70,"$81,600,139 ",1970
689,155,25,30,4,Unstoppable (2010) (Fox),12-Nov-10,"$81,562,942 ",2010
690,39,34,10,11,Payback (1999) (Paramount),05-Feb-99,"$81,526,779 ",1999
691,105,22,25,7,The Talented Mr. Ripley (Paramount),25-Dec-99,"$81,298,221 ",1999
692,176,16,39,1,School of Rock (Paramount),03-Oct-03,"$81,261,961 ",2003
693,7,9,0,0,Police Academy (Warner Bros.),23-Mar-84,"$81,198,403 ",1984
694,19,61,4,15,Snow Dogs (Disney),18-Jan-02,"$81,172,036 ",2002
695,58,106,8,24,21 (Sony / Columbia),28-Mar-08,"$81,159,618 ",2008
696,37,6,11,2,While You Were Sleeping (Disney),21-Apr-95,"$81,080,198 ",1995
697,9,34,1,12,Congo (Paramount),09-Jun-95,"$81,022,888 ",1995
698,80,74,18,20,The Notebook (New Line),25-Jun-04,"$81,001,326 ",2004
699,56,19,12,6,Jimmy Neutron: Boy Genius (Paramount),21-Dec-01,"$80,936,187 ",2001
700,85,3,13,3,Alien (Fox),25-May-79,"$80,931,087 ",1979
701,4,17,0,2,Another 48 HRS. (Paramount),08-Jun-90,"$80,818,539 ",1990
702,38,3,6,1,Moonstruck (MGM),16-Dec-87,"$80,640,773 ",1987
703,71,122,14,23,Eat Pray Love (Sony / Columbia),13-Aug-10,"$80,574,010 ",2010
704,55,98,6,28,The Texas Chainsaw Massacre (2003) (New Line),17-Oct-03,"$80,571,616 ",2003
705,17,106,4,22,Zookeeper (Sony / Columbia),08-Jul-11,"$80,360,866 ",2011
706,30,111,1,24,Alien Vs. Predator (Fox),13-Aug-04,"$80,282,078 ",2004
707,36,95,9,24,What Happens in Vegas (Fox),09-May-08,"$80,277,334 ",2008
708,22,143,8,30,The Dukes of Hazzard (Warner Bros.),05-Aug-05,"$80,270,239 ",2005
709,40,20,8,4,The Wedding Singer (New Line),13-Feb-98,"$80,245,004 ",1998
710,23,62,1,17,Saw III (Lionsgate),27-Oct-06,"$80,238,282 ",2006
711,117,55,24,12,Disturbia (Paramount / DreamWorks),13-Apr-07,"$80,209,993 ",2007
712,66,98,13,24,Nacho Libre (Paramount),16-Jun-06,"$80,197,124 ",2006
713,26,136,1,37,Jumper (Fox),14-Feb-08,"$80,172,510 ",2008
714,151,45,26,10,Cloverfield (Paramount),18-Jan-08,"$80,048,167 ",2008
715,19,15,3,1,Footloose (1984) (Paramount),17-Feb-84,"$80,035,796 ",1984
716,39,96,6,24,Dear John (Sony / Screen Gems),05-Feb-10,"$80,014,842 ",2010
717,5,8,0,1,A Star Is Born (1976) (Warner Bros.),17-Dec-76,"$80,000,605 ",1976
718,46,2,6,0,Fantasia (Disney / RKO),13-Nov-40,"$80,000,076 ",1940
